rent_station	return_station	num_trips
256	3219	67
589	3541	66
1449	1404	66
2373	2431	66
1427	1444	66
574	3517	66
647	1390	66
3501	3520	66
3119	3010	66
1322	1321	66
870	00870	66
1804	1808	66
162	134	66
1158	1173	66
2231	2279	66
973	00905	66
643	646	65
1168	2701	65
2915	2914	65
1953	1952	65
2737	1146	65
1177	1152	65
1981	1977	65
2913	1688	65
1848	1830	65
1010	01010	65
853	00829	65
1414	1437	65
2206	2202	65
1448	1455	65
263	240	65
284	262	65
2701	2719	65
236	263	64
125	126	64
744	735	64
1227	2606	64
1993	1941	64
2105	2106	64
263	284	64
589	3506	64
230	288	64
2220	2264	64
795	00770	64
2715	1191	64
263	1906	64
502	3506	64
213	274	64
1826	1827	64
1152	2733	64
218	211	64
1009	01002	64
958	00911	63
144	439	63
1151	1112	63
1663	1601	63
257	218	63
1158	1172	63
568	378	63
2717	2728	63
2002	2076	63
1112	2715	63
3513	557	63
1354	1321	63
2183	1911	63
1184	1152	63
1017	01017	63
3501	3569	63
2316	2315	63
1908	1957	63
529	526	63
844	00844	63
240	262	63
702	770	63
1867	1841	62
979	00914	62
3571	589	62
1805	1851	62
634	680	62
1354	1372	62
2745	1152	62
2177	2183	62
1131	1157	62
3422	341	62
549	3542	62
908	00906	62
796	00703	62
1050	1011	62
2107	2135	62
3422	337	61
2717	2715	61
3504	3533	61
202	210	61
184	107	61
3541	509	61
2708	1155	61
1911	2183	61
263	236	61
1402	1455	61
853	00853	61
2746	1152	61
1308	614	61
268	228	61
746	726	61
1686	1653	61
1611	1608	61
1512	1503	61
219	217	61
308	385	61
1174	1158	61
228	267	60
2904	2921	60
1351	1308	60
933	00933	60
1953	2819	60
646	678	60
1321	1354	60
224	222	60
1153	1166	60
2106	2102	60
1152	2745	60
207	217	60
770	00708	60
770	00770	60
102	184	60
1363	1337	60
1327	1333	60
262	284	60
1608	1616	60
1809	1851	60
487	146	60
770	00726	60
263	291	60
144	146	59
573	500	59
1986	1911	59
3569	505	59
1721	1702	59
677	630	59
2719	2701	59
240	263	59
1851	1806	59
207	249	59
1117	1182	59
614	1308	59
2262	2219	59
102	107	59
3575	546	59
2639	2623	59
551	542	59
184	102	59
1636	1653	59
1961	278	59
542	551	59
905	00905	59
146	487	59
2176	1911	59
906	00933	59
1074	1044	59
152	154	59
1152	1193	59
3581	563	59
1191	2701	59
1019	01013	59
2333	2327	59
933	00906	59
157	156	58
2339	2335	58
642	631	58
1195	2728	58
2106	2105	58
1322	1354	58
971	00996	58
2242	2252	58
723	726	58
2701	1113	58
2115	1955	58
931	00996	58
631	610	58
1184	1167	58
243	262	58
911	00907	58
316	369	58
274	276	58
117	123	58
2071	2032	58
1906	1911	58
1636	1673	58
1209	2656	58
864	00809	58
3500	539	58
232	243	58
1262	2620	58
258	274	58
3500	3517	58
906	00908	57
1372	1354	57
1530	1503	57
1941	1993	57
2177	2173	57
1155	1160	57
2102	2173	57
1153	2715	57
1293	1210	57
3215	247	57
1194	2728	57
2173	2177	57
765	702	57
948	00169	57
1308	1363	57
943	00917	57
450	302	57
2728	1190	57
140	128	57
770	00701	57
1044	1076	57
703	795	57
2113	2102	57
2720	2715	57
755	754	57
154	497	57
764	765	57
2136	2137	56
502	583	56
1608	2915	56
497	151	56
218	257	56
2222	2511	56
765	793	56
746	735	56
1153	1195	56
3569	3501	56
106	109	56
1911	1906	56
3541	589	56
907	00131	56
1191	2728	56
1957	1908	56
1531	1515	56
2032	2060	56
2202	2205	56
1210	2601	56
250	2063	56
1601	1663	56
1738	1743	56
1149	1152	56
630	677	56
1355	1362	56
773	00773	56
630	660	55
627	602	55
1021	1090	55
3904	1985	55
809	00864	55
2619	1210	55
277	265	55
409	401	55
2136	2183	55
3010	183	55
1931	1930	55
3569	3523	55
931	00906	55
2145	2136	55
1684	1610	55
1184	1193	55
1930	1931	55
2140	2102	55
258	210	55
2715	2733	55
578	567	55
2274	2294	55
232	247	55
274	258	55
1686	1662	55
2641	1210	54
1906	1901	54
283	274	54
795	00703	54
584	563	54
839	00839	54
153	154	54
1527	1529	54
1124	1125	54
1274	2611	54
292	3219	54
500	592	54
906	00931	54
1210	1297	54
1169	1171	54
2247	2252	54
274	210	54
707	779	54
2173	2136	54
1008	01009	54
794	00770	54
914	00913	54
3571	508	54
157	426	54
2219	2262	54
2921	1619	54
1210	2623	54
154	103	54
2013	2015	54
1653	1686	54
210	276	54
1346	1367	54
316	303	54
3417	361	54
1650	1673	54
114	116	54
102	3009	54
1337	1363	53
1833	1812	53
500	573	53
213	210	53
1117	1153	53
779	00779	53
225	259	53
1515	1531	53
729	703	53
497	103	53
2252	2294	53
2621	1226	53
2720	1153	53
704	785	53
956	00914	53
259	217	53
1924	1911	53
2002	853	53
131	907	53
1725	1721	53
1166	2708	53
1911	2176	53
2704	1173	53
963	00900	53
230	3205	53
509	561	53
1153	1152	53
2715	1184	53
267	228	53
768	00756	53
162	128	53
2102	2170	53
3205	230	53
219	259	53
2136	2173	52
3506	589	52
151	154	52
763	788	52
674	1321	52
287	245	52
1150	1184	52
1328	1382	52
3542	500	52
3533	3536	52
418	907	52
791	00791	52
1673	1636	52
1151	1162	52
726	719	52
2054	2058	52
568	1355	52
1447	1452	52
1308	1351	52
223	222	52
2106	2177	52
765	792	52
770	00703	52
1158	1166	52
770	00702	52
546	3575	52
1616	1655	52
385	308	52
719	731	52
589	3571	52
2102	2140	52
2701	1195	52
592	3569	52
1010	01050	52
1321	1322	52
947	00949	52
716	770	52
1153	1193	51
247	290	51
562	3518	51
960	00903	51
1394	1318	51
362	378	51
210	214	51
585	509	51
230	283	51
1975	1912	51
1336	1355	51
1002	01001	51
1288	2628	51
3535	3502	51
1806	1851	51
1901	1906	51
1195	1153	51
2721	1160	51
1931	1925	51
1320	1354	51
207	210	51
602	625	51
156	157	51
917	00943	51
247	230	51
1155	2708	51
1158	2708	51
1985	1961	51
1683	1625	51
3905	1961	51
262	243	51
913	00914	51
1170	1169	51
1029	1028	51
3536	3501	51
2113	2177	51
2189	2109	51
3505	502	50
792	00765	50
573	3579	50
1452	1447	50
950	00950	50
1906	780	50
735	769	50
805	00805	50
1734	1721	50
1210	2621	50
268	280	50
1044	1050	50
2115	1911	50
1050	1020	50
3206	263	50
3416	346	50
2015	2009	50
1268	2621	50
3115	3104	50
2621	2622	50
703	796	50
916	00916	50
1854	1911	50
1152	2746	50
509	3541	50
1372	1321	50
1120	1158	50
1616	1636	50
704	779	50
2715	1153	50
1673	1656	50
2908	1601	50
769	00769	50
514	589	50
1911	2140	50
788	00788	50
962	00904	50
213	203	50
